Datetime,Resolution code,Offshore/onshore,Region,Grid connection type,Measured & Upscaled,Most recent forecast,Most recent P10,Most recent P90,Day Ahead 11AM forecast,Day Ahead 11AM P10,Day Ahead 11AM P90,Day-ahead 6PM forecast,Day-ahead 6PM P10,Day-ahead 6PM P90,Week-ahead forecast,Week-ahead P10,Week-ahead P90,Monitored capacity,Load factor,Decremental bid Indicator
18-01-2018 14:45,PT15M,Onshore,Flanders,Elia,31.08,33.36,24,42.69,37.26,26.42,46.46,37.59,27.13,46.34,32.69,17.69,47.42,53.86,0.58,''
18-01-2018 14:45,PT15M,Onshore,Flanders,Dso,478.38,516.56,350.82,679.62,580.54,392.75,763.1,594.76,406.97,777.34,546.54,281.78,806.69,990.66,0.48,''
18-01-2018 14:45,PT15M,Onshore,Wallonia,Dso,335.87,349.23,227.23,466.13,414.91,286.19,530.27,418.52,290.25,533.81,392.66,236.54,528.6,595.7,0.56,''
18-01-2018 14:45,PT15M,Offshore,Federal,Elia,757.93,813.28,726.89,876.12,782.69,648.73,876.3,778.92,645.96,872.06,445.4,328.5,567.64,877.2,0.86,''
18-01-2018 14:45,PT15M,Onshore,Wallonia,Elia,56.54,65.39,40.63,90.1,74.92,42.33,101.02,76.86,44.35,101.87,72,39.98,99.93,104.5,0.54,''
18-01-2018 14:30,PT15M,Onshore,Wallonia,Dso,355.67,357.46,239.47,470.17,424.79,299.49,535.01,427.96,302.36,538.36,394.96,240.09,529.41,595.7,0.6,''
18-01-2018 14:30,PT15M,Onshore,Flanders,Dso,521.12,532.66,370.31,691.67,604.21,420.8,780.89,615.98,431.55,793.41,549.6,285.9,808.56,990.66,0.53,''
18-01-2018 14:30,PT15M,Onshore,Wallonia,Elia,63.7,68.13,43.27,92.89,76.68,44.43,101.5,78.72,46.36,102.05,72.46,40.72,100.08,104.5,0.61,''
18-01-2018 14:30,PT15M,Onshore,Flanders,Elia,36.88,34.34,25.39,43.2,38.16,27.59,46.68,38.42,28.33,46.54,32.82,17.82,47.49,53.86,0.68,''
18-01-2018 14:30,PT15M,Offshore,Federal,Elia,796.72,818.08,738.25,875.66,782.2,653.86,874.85,771.62,643.98,864.29,454.16,336.62,576.54,877.2,0.91,''
18-01-2018 14:15,PT15M,Onshore,Flanders,Elia,38.19,35.33,26.78,43.71,39.05,28.76,46.89,39.24,29.54,46.74,32.95,17.95,47.56,53.86,0.71,''
18-01-2018 14:15,PT15M,Offshore,Federal,Elia,801.75,822.88,749.61,875.2,781.72,658.99,873.39,764.32,642,856.51,462.92,344.75,585.44,877.2,0.91,''
18-01-2018 14:15,PT15M,Onshore,Flanders,Dso,542.43,548.76,389.79,703.72,627.88,448.85,798.67,637.2,456.12,809.48,552.68,290.02,810.45,990.66,0.55,''
18-01-2018 14:15,PT15M,Onshore,Wallonia,Dso,366.7,365.69,251.7,474.2,434.68,312.78,539.76,437.39,314.45,542.9,397.26,243.63,530.21,595.7,0.62,''
18-01-2018 14:15,PT15M,Onshore,Wallonia,Elia,67.68,70.88,45.9,95.67,78.44,46.53,101.98,80.58,48.37,102.23,72.92,41.46,100.23,104.5,0.65,''
18-01-2018 14:00,PT15M,Onshore,Wallonia,Dso,364.3,373.92,263.93,478.24,444.56,326.09,544.5,446.82,326.55,547.45,399.56,247.18,531.01,595.7,0.61,''
18-01-2018 14:00,PT15M,Onshore,Flanders,Dso,526.88,564.86,409.28,715.76,651.55,476.9,816.45,658.42,480.7,825.54,555.75,294.15,812.32,990.66,0.53,''
18-01-2018 14:00,PT15M,Onshore,Wallonia,Elia,58.18,73.63,48.54,98.46,80.2,48.63,102.45,82.43,50.37,102.41,73.38,42.2,100.38,104.5,0.56,''
18-01-2018 14:00,PT15M,Offshore,Federal,Elia,797.51,827.68,760.96,874.73,781.23,664.12,871.94,757.02,640.02,848.73,471.69,352.87,594.34,877.2,0.91,''
18-01-2018 14:00,PT15M,Onshore,Flanders,Elia,36.67,36.31,28.17,44.22,39.95,29.92,47.11,40.07,30.75,46.95,33.07,18.09,47.63,53.86,0.68,''
18-01-2018 13:45,PT15M,Onshore,Wallonia,Dso,383.32,379.79,273.29,480.48,452.22,337.25,547.39,454.08,337.29,549.85,401.69,250.38,531.67,595.7,0.64,''
18-01-2018 13:45,PT15M,Onshore,Wallonia,Elia,58.93,75.64,51.02,99.86,81.99,51.08,102.82,84.08,52.52,102.66,73.79,42.88,100.47,104.5,0.56,''
18-01-2018 13:45,PT15M,Onshore,Flanders,Elia,35.02,36.67,28.78,44.33,40.68,30.96,47.29,40.62,31.62,47.14,33.16,18.18,47.61,53.86,0.65,''
18-01-2018 13:45,PT15M,Offshore,Federal,Elia,818.63,823.73,760.24,869.62,768.85,658.92,857.27,733.99,620.46,827.47,488.17,366.48,610.19,877.2,0.93,''
18-01-2018 13:45,PT15M,Onshore,Flanders,Dso,550.1,575.41,421.28,724.26,670.35,499.67,829.52,675.4,500.77,837.47,558.62,298,814.06,990.66,0.56,''
18-01-2018 13:30,PT15M,Onshore,Wallonia,Dso,389.36,383.29,279.78,480.96,457.66,346.26,548.43,459.15,346.66,550.12,403.67,253.23,532.16,595.7,0.65,''
18-01-2018 13:30,PT15M,Onshore,Flanders,Elia,36.73,36.4,28.59,44.05,41.26,31.88,47.44,40.89,32.14,47.32,33.2,18.25,47.5,53.86,0.68,''
